Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
245,Presbyterian,32,10,22,0.313,-4.51,6,12,1978,2214,741,1656,0.447,136,425,0.32,360,546,0.659,296,1029,341,166,90,415,507
246,Princeton,31,16,14,0.533,-2.92,9,5,2066,1972,673,1455,0.463,252,668,0.377,468,658,0.711,189,913,391,165,90,366,562
247,Providence NCAA,34,22,12,0.647,9.5,11,7,2370,2227,828,1889,0.438,171,546,0.313,543,768,0.707,411,1228,474,242,155,407,628
248,Purdue NCAA,34,21,13,0.618,7.64,12,6,2375,2195,827,1840,0.449,195,597,0.327,524,767,0.683,409,1249,505,185,177,444,642
249,Quinnipiac,30,15,15,0.5,-3.66,9,11,2092,2026,715,1813,0.394,165,537,0.307,497,643,0.773,491,1361,416,107,173,416,570
250,Radford,34,22,12,0.647,-5.53,12,6,2476,2301,892,1946,0.458,212,634,0.334,480,695,0.691,411,1240,450,242,150,408,611
251,Rhode Island,33,23,10,0.697,2.87,13,5,2232,1986,777,1732,0.449,146,482,0.303,532,812,0.655,362,1183,430,215,184,453,694
252,Rice,32,12,20,0.375,-0.79,8,10,2052,2107,679,1615,0.42,289,797,0.363,405,548,0.739,276,1019,405,190,70,459,606
253,Richmond,35,21,14,0.6,3.77,12,6,2313,2142,834,1821,0.458,231,680,0.34,414,600,0.69,240,1025,469,242,116,346,595
254,Rider,33,21,12,0.636,-3.11,15,5,2153,2103,784,1790,0.438,200,599,0.334,385,638,0.603,357,1131,400,234,87,413,591
255,Robert Morris NCAA,35,20,15,0.571,-3.5,12,6,2414,2397,854,1926,0.443,221,590,0.375,485,684,0.709,367,1162,428,300,100,467,650
256,Rutgers,32,10,22,0.313,8.11,2,16,1898,2150,687,1751,0.392,152,515,0.295,372,570,0.653,359,1118,343,178,118,417,530
257,Sacramento State,33,21,12,0.636,-5.45,13,5,2342,2250,841,1729,0.486,208,510,0.408,452,614,0.736,276,974,466,231,78,355,563
258,Sacred Heart,32,15,17,0.469,-5.97,9,9,2360,2367,874,1911,0.457,169,529,0.319,443,685,0.647,401,1225,469,210,110,439,588
259,Saint Francis (PA),32,16,16,0.5,-4.97,9,9,2061,2050,724,1653,0.438,226,677,0.334,387,576,0.672,267,998,376,209,83,398,507
260,Saint Joseph's,31,13,18,0.419,2.58,7,11,1912,1999,688,1704,0.404,167,559,0.299,369,600,0.615,352,1099,394,205,135,387,523
261,Saint Louis,32,11,21,0.344,2.43,3,15,1912,2122,652,1587,0.411,172,528,0.326,436,666,0.655,290,979,391,170,72,443,630
262,Saint Mary's (CA),31,21,10,0.677,3.78,13,5,2141,1984,752,1645,0.457,225,603,0.373,412,576,0.715,328,1115,466,157,70,375,541
263,Saint Peter's,34,16,18,0.471,-3.92,8,12,2081,2048,698,1695,0.412,193,563,0.343,492,745,0.66,353,1109,344,213,101,413,654
264,Sam Houston State,35,26,9,0.743,-6.03,15,3,2592,2101,846,1973,0.429,266,808,0.329,634,898,0.706,463,1409,516,229,154,455,712
265,Samford,32,13,19,0.406,-5.57,6,12,2216,2301,780,1756,0.444,204,588,0.347,452,661,0.684,326,1015,423,235,96,414,657
266,San Diego State NCAA,36,27,9,0.75,4.24,14,4,2226,1939,800,1916,0.418,189,591,0.32,437,694,0.63,439,1270,377,247,179,410,506
267,San Diego,31,15,16,0.484,3.47,8,10,2006,1949,690,1636,0.422,192,562,0.342,434,632,0.687,321,1016,388,199,119,365,618
268,San Francisco,32,14,18,0.438,2.83,7,11,2215,2167,783,1735,0.451,203,596,0.341,446,709,0.629,340,1113,443,186,79,376,647
269,San Jose State,30,2,28,0.067,1.92,0,18,1612,2086,553,1559,0.355,196,668,0.293,310,475,0.653,272,939,294,145,78,426,548
270,Santa Clara,32,14,18,0.438,4.12,7,11,2027,2136,711,1675,0.424,222,636,0.349,383,520,0.737,296,956,379,180,59,339,599
271,Savannah State,31,9,22,0.29,-6.27,5,11,1758,2072,633,1549,0.409,102,400,0.255,315,548,0.575,328,907,277,263,71,513,588
272,Seattle,34,18,16,0.529,-4.69,7,7,2123,2095,740,1674,0.442,236,609,0.388,407,612,0.665,324,1149,471,185,50,466,572
273,Seton Hall,31,16,15,0.516,7.56,6,12,2119,2107,735,1745,0.421,213,609,0.35,436,664,0.657,391,1123,384,185,127,385,595
