Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
237,Pacific,28,8,20,0.286,2.35,6,12,1948,2009,685,1559,0.439,190,576,0.33,388,575,0.675,282,993,362,125,71,383,637
238,Penn State,32,16,16,0.5,6.95,7,11,2107,2228,732,1799,0.407,211,665,0.317,432,621,0.696,333,1109,322,166,141,361,644
239,Pennsylvania,28,11,17,0.393,-2.15,5,9,1911,2013,685,1606,0.427,200,657,0.304,341,508,0.671,288,1001,381,146,75,373,513
240,Pepperdine,32,18,14,0.563,1.68,10,8,2349,2287,840,1861,0.451,162,469,0.345,507,754,0.672,351,1182,457,187,93,357,595
241,Pittsburgh NCAA,33,21,12,0.636,8.75,9,9,2476,2220,878,1919,0.458,204,589,0.346,516,686,0.752,417,1257,547,162,121,384,581
242,Portland State,31,13,18,0.419,-5.94,8,10,2408,2409,908,1904,0.477,167,519,0.322,425,645,0.659,329,1096,527,263,112,390,589
243,Portland,32,12,20,0.375,0.56,6,12,2483,2552,868,2012,0.431,289,787,0.367,458,633,0.724,369,1130,425,208,128,389,697
244,Prairie View,31,7,24,0.226,-6.82,7,11,1873,2202,657,1727,0.38,127,467,0.272,432,630,0.686,355,998,269,239,84,465,691
245,Presbyterian,31,11,20,0.355,-4.98,5,13,2093,2259,754,1743,0.433,148,502,0.295,437,615,0.711,298,1047,350,206,60,441,595
246,Princeton,29,22,7,0.759,-1.72,12,2,2294,1989,800,1725,0.464,282,736,0.383,412,579,0.712,288,1069,431,206,104,330,503
247,Providence NCAA,35,24,11,0.686,8.46,10,8,2577,2455,881,2093,0.421,249,776,0.321,566,781,0.725,402,1263,550,229,123,397,591
248,Purdue NCAA,35,26,9,0.743,7.46,12,6,2726,2281,960,2042,0.47,268,731,0.367,538,723,0.744,400,1443,615,147,165,419,607
249,Quinnipiac,30,9,21,0.3,-4.98,6,14,1969,2131,698,1897,0.368,229,671,0.341,344,532,0.647,495,1299,377,146,141,459,611
250,Radford,31,16,15,0.516,-3.45,9,9,2266,2248,844,1885,0.448,226,658,0.343,352,541,0.651,408,1174,410,183,138,416,580
251,Rhode Island,32,17,15,0.531,3.29,9,9,2220,2072,782,1762,0.444,213,584,0.365,443,662,0.669,335,1118,391,170,159,368,606
252,Rice,32,12,20,0.375,-2.7,7,11,2427,2576,813,1798,0.452,228,716,0.318,573,773,0.741,294,1052,419,205,89,419,562
253,Richmond,32,16,16,0.5,4.56,7,11,2450,2363,890,1848,0.482,240,674,0.356,430,652,0.66,251,1021,531,210,74,327,610
254,Rider,33,13,20,0.394,-3.6,8,12,2177,2223,769,1803,0.427,204,647,0.315,435,638,0.682,330,1170,416,189,124,421,587
255,Robert Morris,32,10,22,0.313,-7.75,8,10,2082,2267,741,1780,0.416,178,645,0.276,422,633,0.667,303,1042,400,265,127,454,552
256,Rutgers,32,7,25,0.219,6.43,1,17,2166,2571,785,1878,0.418,161,503,0.32,435,640,0.68,314,1113,377,195,113,443,562
257,Sacramento State,31,14,17,0.452,-5.32,6,12,2210,2237,790,1784,0.443,209,618,0.338,421,627,0.671,302,1112,434,175,130,367,631
258,Sacred Heart,30,12,18,0.4,-9.05,11,7,2217,2336,785,1795,0.437,169,544,0.311,478,695,0.688,378,1128,363,190,77,442,625
259,Saint Francis (PA),30,13,17,0.433,-9.06,9,9,2110,2181,716,1700,0.421,218,607,0.359,460,662,0.695,349,1093,356,140,95,379,515
260,Saint Joseph's NCAA,36,28,8,0.778,4.93,13,5,2780,2522,976,2153,0.453,251,767,0.327,577,806,0.716,359,1378,534,184,119,355,583
261,Saint Louis,32,11,21,0.344,3.49,5,13,2106,2305,724,1726,0.419,199,607,0.328,459,653,0.703,230,1045,426,175,66,436,646
262,Saint Mary's (CA),35,29,6,0.829,1.24,15,3,2576,2132,951,1887,0.504,303,747,0.406,371,539,0.688,310,1225,583,169,119,335,539
263,Saint Peter's,30,14,16,0.467,-4.3,12,8,1966,1987,700,1660,0.422,183,560,0.327,383,582,0.658,322,1102,357,164,96,392,528
264,Sam Houston State,34,18,16,0.529,-6.5,12,6,2551,2427,876,2013,0.435,264,775,0.341,535,767,0.698,380,1261,575,188,57,400,742
265,Samford,33,14,19,0.424,-4.49,4,14,2440,2442,845,1857,0.455,177,548,0.323,573,798,0.718,345,1143,435,226,113,455,691
266,San Diego State,38,28,10,0.737,4.33,16,2,2605,2303,885,2100,0.421,222,687,0.323,613,892,0.687,453,1475,405,210,207,467,648
267,San Diego,30,9,21,0.3,1.42,4,14,1822,2074,630,1614,0.39,192,673,0.285,370,559,0.662,289,995,328,139,118,410,640
268,San Francisco,30,15,15,0.5,-0.68,8,10,2329,2362,808,1839,0.439,233,659,0.354,480,708,0.678,389,1181,371,162,88,379,619
269,San Jose State,31,9,22,0.29,1.35,4,14,2186,2290,756,1783,0.424,212,690,0.307,462,701,0.659,327,1130,449,186,120,430,687
270,Santa Clara,31,11,20,0.355,1.86,7,11,2083,2272,713,1741,0.41,232,675,0.344,425,592,0.718,279,1047,383,134,83,350,613
